"kode";"jenis";"nama"
"1101122008";"Kelurahan/Desa";"Pulo Ie"
"1101122009";"Kelurahan/Desa";"Suak Lokan"
"1101122010";"Kelurahan/Desa";"Iku Lhueng"
"1101122011";"Kelurahan/Desa";"Kuta Trieng"
"1101122012";"Kelurahan/Desa";"Pante Geulima"
"1101122013";"Kelurahan/Desa";"Panton Pawoh"
"1101122014";"Kelurahan/Desa";"Batee Meucanang"
"1101122015";"Kelurahan/Desa";"Panton Rubek"
"1101130000";"Kecamatan";"Kluet Tengah"
"1101132001";"Kelurahan/Desa";"Koto"
"1101132002";"Kelurahan/Desa";"Alur Keujrun"
"1101132003";"Kelurahan/Desa";"Jambo Papan"
"1101132004";"Kelurahan/Desa";"Malaka"
"1101132005";"Kelurahan/Desa";"Koto Indarung"
"1101132006";"Kelurahan/Desa";"Siurai-Urai"
"1101132007";"Kelurahan/Desa";"Kampung Sawah"
"1101132008";"Kelurahan/Desa";"Kampung Padang"
"1101132009";"Kelurahan/Desa";"Pulo Air"
"1101132010";"Kelurahan/Desa";"Lawe Melang"
"1101132011";"Kelurahan/Desa";"Mersak"
"1101132012";"Kelurahan/Desa";"Simpang Dua"
"1101132013";"Kelurahan/Desa";"Simpang Tiga"
"1101140000";"Kecamatan";"Kluet Timur"
"1101142001";"Kelurahan/Desa";"Paya Dapur"
"1101142002";"Kelurahan/Desa";"Sapik"
"1101142003";"Kelurahan/Desa";"Alai"
"1101142004";"Kelurahan/Desa";"Durian Kawan"
"1101142005";"Kelurahan/Desa";"Lawe Sawah"
"1101142006";"Kelurahan/Desa";"Lawe Buluh Didi"
"1101142007";"Kelurahan/Desa";"Pucuk Lembang"
"1101142008";"Kelurahan/Desa";"Paya Laba"
"1101142009";"Kelurahan/Desa";"Lawe Cimanok"
"1101150000";"Kecamatan";"Bakongan  Timur"
"1101152001";"Kelurahan/Desa";"Pasie Seubadeh"
"1101152002";"Kelurahan/Desa";"Ladang Rimba"
"1101152003";"Kelurahan/Desa";"Ujong Pulo Rayeuk"
"1101152004";"Kelurahan/Desa";"Sawah Tingkeum"
"1101152005";"Kelurahan/Desa";"Simpang"
"1101152006";"Kelurahan/Desa";"Ujong Pulo Cut"
"1101152008";"Kelurahan/Desa";"Seuleukat"
"1101160000";"Kecamatan";"Trumon Timur"
"1101162005";"Kelurahan/Desa";"Pinto Rimba"
"1101162006";"Kelurahan/Desa";"Krueng Luas"
"1101162007";"Kelurahan/Desa";"Jambo Dalem"
"1101162008";"Kelurahan/Desa";"Kapa Sesak"
"1101162009";"Kelurahan/Desa";"Seuneubok Punto"
"1101162010";"Kelurahan/Desa";"Seuneubok Pusaka"
"1101162011";"Kelurahan/Desa";"Alur Bujok"
"1101162012";"Kelurahan/Desa";"Titi Poben"
"1101170000";"Kecamatan";"Kota Bahagia"
"1101172001";"Kelurahan/Desa";"Buket Gadeng"
"1101172002";"Kelurahan/Desa";"Rambong"
"1101172003";"Kelurahan/Desa";"Seuneubok  Keuranji"
"1101172004";"Kelurahan/Desa";"Seuneubok  Alur Buloh"
"1101172005";"Kelurahan/Desa";"Ujong Tanoh"
"1101172006";"Kelurahan/Desa";"Ujong Gunong Cut"
"1101172007";"Kelurahan/Desa";"Ujong Gunung Rayeuk"
"1101172008";"Kelurahan/Desa";"Beutong"
